FILTER,USERNAME,URL,TWEET,TIMESTAMP,,,,
x,Karachi,https://pbs.twimg.com/media/BU7WOEuCUAAGG6A.jpg,[@The_Nation] 35 suspects arrested in Karachi http://t.co/GYyj6GUs9z #Karachi #Pakistan,2013-09-24T12:16:18.000Z,,Pakistan,70,30.0:
x,ePakistaneNews,https://pbs.twimg.com/media/BU7QN6tCUAASNA7.jpg,"Unconfirmed Reports: Many people injured, various houses damaged in Dalhandin Mashkeel, Awaran and other areas of #Balochistan #Earthquake",2013-09-24T12:16:37.000Z,,,,:
x,RaufAbdur,http://d3j5vwomefv46c.cloudfront.net/photos/large/810839545.jpg?1380024992,7.7 earthquake jolted Khuzdar for 10 second #Balochistan  @SuzannaKoster,2013-09-24T12:16:52.000Z,,,,:
x,xclaus,https://pbs.twimg.com/media/BU7VRp4CYAAanhi.jpg,RT @IvanMercadoNews: Le asignan nueva escala al terremoto de #Pakistan Lo ubican ahora en 7.4 grados. El pa_É¬_s ha disparado su alerta roja.,2013-09-24T12:16:38.000Z,,,,:
x,JeffPriceMedia,https://pbs.twimg.com/media/BU7WUW5CIAAq_IZ.jpg,RT @AJELive: #USGS: A powerful 7.4-magnitude #earthquake has hit southwestern #Pakistan | Developing story: http://t.co/TjDBBfox5o,2013-09-24T12:16:34.000Z,England,United Kingdom,-0.12574,51.50853:
x,Imran_mirzaa,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,RT @SsamanJay: Hoping all my friends and everyone is safe #KarachiEarthquake #Pakistan,2013-09-24T12:17:43.000Z,Sindh,Pakistan,67.0822,24.9056:
x,myth_musa,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,_©_ì‚Ä°_¶¬_¬ê_•_ì¬__£_í‚Äò_£‚Äö¬__£‚Äö¬__£‚Äö¬ø_£_í¬_http://t.co/dcg4WFEgQr_£‚Ç¨‚Ç¨_Ø¬º_í_•_ì¬__©_ì‚Ä°_£‚Ç¨‚Ç¨_Ø¬º_íearthquake,2013-09-24T12:17:28.000Z,,,,:
x,asadzaidi,https://pbs.twimg.com/media/BU7WcYPCAAA6iJu.jpg,#Earthquake in #Pakistan! I didn't feel in Delhi though.. Hope everything is OK!,2013-09-24T12:17:34.000Z,NCT,India,77.22445,28.63576:
x,CrazyIsla,https://pbs.twimg.com/media/BU7SopqCIAARThc.jpg,#earthquake in various areas in Pakistan... May ALLAH safe US all Ameen..,2013-09-24T12:18:52.000Z,,,,:
x,HariMirchein,https://pbs.twimg.com/media/BU7WyNUCcAE2nz4.jpg,RT @samramuslim: #ZindaBhaag has done about PKR 4.5 million in opening weekend in #Pakistan. Via @hyzaidi. My review is here http://t.co/Dg_¢‚Ç¨¬¶,2013-09-24T12:18:33.000Z,,,,:
x,techahmed1,https://pbs.twimg.com/media/BU7Vq9mCIAA9Am2.png,Reports of Damages by #earthquake in #awaraan area of  #Pakistan.  GOD Bless us all.,2013-09-24T12:18:09.000Z,,,,:
x,Hoosier2012,https://pbs.twimg.com/media/BU7WwgmCYAAxBMz.jpg,"RT @weatherchannel: BREAKING: @USGS issues ""RED"" alert for 7.8 Pakistan #earthquake; USGS model estimates 73% chance of 1,000+ deaths.",2013-09-24T12:18:29.000Z,Indiana,United States,-86.15804,39.76838:
x,Nour_Press,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,"earthquake measuring 7.8 on the Richter scale has struck southwest #Pakistan, with tremors felt across the region and as far as #Delhi#world",2013-09-24T12:19:31.000Z,Ontario,Canada,-75.69812,45.41117:
x,CheeButter,https://scontent-a-ord.xx.fbcdn.net/hphotos-prn2/q71/s720x720/1234739_568070869924842_783339189_n.jpg,"RT @weatherchannel: BREAKING: @USGS issues ""RED"" alert for 7.8 Pakistan #earthquake; USGS model estimates 73% chance of 1,000+ deaths.",2013-09-24T12:19:14.000Z,New York,United States,-75.4999,43.00035:
x,aamanatullah,https://pbs.twimg.com/media/BU7WwgmCYAAxBMz.jpg,"RT @kashaziz: Dollar going up 1Rs per day, standing at 107.70 in open market today. #Pakistan",2013-09-24T12:19:16.000Z,,,,:
x,connectedtoashu,https://pbs.twimg.com/media/BU7XAQQCUAA66Wi.png,"Zor Ka Jhatka..Kis kis ko Dheere se Laga, Haan Laga #Earthquake.!!",2013-09-24T12:19:46.000Z,NCT,India,77.22445,28.63576:
x,azaralizain,https://pbs.twimg.com/media/BU7W-0jCQAAkKHH.jpg,7.4/7.7 magnitude earthquake hits Baluchistan/Sindh in #Pakistan. Stay safe everyone.,2013-09-24T12:19:53.000Z,,,,:
x,AliRezaRizvi,https://pbs.twimg.com/media/BU7U-o_CAAEODEG.jpg,Lehad Me Aaye Thay Jhoolay Ko Chor Ker Asghar// Tou Zalzalou'n Nay Zamee'n Ko Bana Dia Jhoola. #Earthquake #Pakistan,2013-09-24T12:19:49.000Z,,Pakistan,70,30.0:
